year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2015,1,045487 90 5,,ASSOCIATED BANC CORP,CALL,,045487,90,5,04548790,045487905
2015,1,104674 10 6,*,BRADY CORP,CL A,,104674,10,6,10467410,104674106
2015,1,25154H 55 8,,DEUTSCHE BK AG LDN BRH,DB AGRIC DBL LN,,25154H,55,8,25154H55,25154H558
2015,1,56804T 90 6,,MARIN SOFTWARE INC,CALL,,56804T,90,6,56804T90,56804T906
2015,1,150870 10 3,*,CELANESE CORP DEL,COM SER A,,150870,10,3,15087010,150870103
2015,1,72201Y 10 1,,PIMCO DYNAMIC INCOME FD,SHS,,72201Y,10,1,72201Y10,72201Y101
2015,1,02917T AA 2,,AMERICAN RLTY CAP PPTYS INC,NOTE  3.000% 8/0,,02917T,AA,2,02917TAA,02917TAA2
2015,1,825724 20 6,*,SIBANYE GOLD LTD,SPONSORED ADR,,825724,20,6,82572420,825724206
2015,1,75605A 10 8,,REALITY SHS ETF TR,DIVS ETF,,75605A,10,8,75605A10,75605A108
2015,1,292554 AH 5,,ENCORE CAP GROUP INC,NOTE  2.875% 3/1,ADDED,292554,AH,5,292554AH,292554AH5
2015,1,884903 10 5,*,THOMSON REUTERS CORP,COM,,884903,10,5,88490310,884903105
2015,1,74164F 10 3,*,PRIMORIS SVCS CORP,COM,,74164F,10,3,74164F10,74164F103
2015,1,071813 95 9,,BAXTER INTL INC,PUT,,071813,95,9,07181395,071813959
2015,1,316188 30 9,,FIDELITY,TOTAL BD ETF,,316188,30,9,31618830,316188309
2015,1,018802 10 8,*,ALLIANT ENERGY CORP,COM,,018802,10,8,01880210,018802108
2015,1,02554F 95 0,,AMERICAN EAGLE ENERGY CORP,PUT,,02554F,95,0,02554F95,02554F950
2015,1,774515 10 0,,ROCKY BRANDS INC,COM,,774515,10,0,77451510,774515100
2015,1,40609P 10 5,,HALLADOR ENERGY COMPANY,COM,,40609P,10,5,40609P10,40609P105
2015,1,89237H 10 0,,TRACON PHARMACEUTICALS INC,COM,ADDED,89237H,10,0,89237H10,89237H100
2015,1,25820R 95 5,,DORCHESTER MINERALS LP,PUT,,25820R,95,5,25820R95,25820R955
2015,1,681904 90 8,,OMNICARE INC,CALL,,681904,90,8,68190490,681904908
2015,1,042182 20 4,,ARMCO METALS HLDGS INC,COM NEW,ADDED,042182,20,4,04218220,042182204
2015,1,45780R 10 1,*,INSTALLED BLDG PRODS INC,COM,,45780R,10,1,45780R10,45780R101
2015,1,893662 95 6,,TRANSGLOBE ENERGY CORP,PUT,,893662,95,6,89366295,893662956
2015,1,23334L 10 2,*,DSW INC,CL A,,23334L,10,2,23334L10,23334L102
