year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2011,3,55977T 10 9,,MAGYAR BANCORP INC,COM,,55977T,10,9,55977T10,55977T109
2011,3,95768B 10 7,,WESTERN ASSET HGH YLD DFNDFD,COM,,95768B,10,7,95768B10,95768B107
2011,3,594960 90 6,,MICROVISION INC DEL,CALL,,594960,90,6,59496090,594960906
2011,3,74347R 90 6,,PROSHARES TR,CALL,,74347R,90,6,74347R90,74347R906
2011,3,73640Q 10 5,*,PORTFOLIO RECOVERY ASSOCS IN,COM,,73640Q,10,5,73640Q10,73640Q105
2011,3,91359V 95 7,,UNIVERSAL INS HLDGS INC,PUT,,91359V,95,7,91359V95,91359V957
2011,3,749227 95 4,,RAIT FINANCIAL TRUST,PUT,DELETED,749227,95,4,74922795,749227954
2011,3,867037 10 3,,SUNAMERICA FCSED ALPHA GRW F,COM,,867037,10,3,86703710,867037103
2011,3,11133T 10 3,*,BROADRIDGE FINL SOLUTIONS IN,COM,,11133T,10,3,11133T10,11133T103
2011,3,929352 10 2,*,WUXI PHARMATECH CAYMAN INC,SPONS ADR SHS,,929352,10,2,92935210,929352102
2011,3,78463X 71 5,,SPDR INDEX SHS FDS,INTL ENRGY ETF,,78463X,71,5,78463X71,78463X715
2011,3,67069X 10 4,,NUVEEN CA DIV ADVANTG MUN FD,COM,,67069X,10,4,67069X10,67069X104
2011,3,88160R 10 1,*,TESLA MTRS INC,COM,,88160R,10,1,88160R10,88160R101
2011,3,539830 10 9,*,LOCKHEED MARTIN CORP,COM,,539830,10,9,53983010,539830109
2011,3,149568 10 7,,CAVCO INDS INC DEL,COM,,149568,10,7,14956810,149568107
2011,3,25459W 95 3,,DIREXION SHS ETF TR,PUT,,25459W,95,3,25459W95,25459W953
2011,3,011659 95 9,,ALASKA AIR GROUP INC,PUT,,011659,95,9,01165995,011659959
2011,3,16934Q 10 9,*,CHIMERA INVT CORP,COM,,16934Q,10,9,16934Q10,16934Q109
2011,3,45409B 86 7,*,INDEXIQ ETF TR,CAN SML CP ETF,,45409B,86,7,45409B86,45409B867
2011,3,904034 90 5,,ULTRATECH INC,CALL,,904034,90,5,90403490,904034905
2011,3,535925 90 1,,LINKTONE LTD,CALL,,535925,90,1,53592590,535925901
2011,3,279158 95 9,,ECOPETROL S A,PUT,,279158,95,9,27915895,279158959
2011,3,811699 95 7,,SEACHANGE INTL INC,PUT,,811699,95,7,81169995,811699957
