year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2010,4,82835P 10 3,*,SILVERCORP METALS INC,COM,,82835P,10,3,82835P10,82835P103
2010,4,45661Q 10 7,,INERGY HLDGS L P,COM,DELETED,45661Q,10,7,45661Q10,45661Q107
2010,4,868059 95 6,,SUPERGEN INC,PUT,,868059,95,6,86805995,868059956
2010,4,464330 10 9,*,ISIS PHARMACEUTICALS INC,COM,,464330,10,9,46433010,464330109
2010,4,749227 95 4,,RAIT FINANCIAL TRUST,PUT,,749227,95,4,74922795,749227954
2010,4,18383Q 87 9,,CLAYMORE EXCHANGE TRD FD TR,GUGG TIMBER ETF,,18383Q,87,9,18383Q87,18383Q879
2010,4,338488 95 9,,FLAMEL TECHNOLOGIES SA,PUT,,338488,95,9,33848895,338488959
2010,4,029429 90 7,,AMERICAN SCIENCE & ENGR INC,CALL,,029429,90,7,02942990,029429907
2010,4,92705T 10 1,,VILLAGE BK & TR FINANCIAL CO,COM,,92705T,10,1,92705T10,92705T101
2010,4,359032 95 9,,FRONTEER GOLD INC,PUT,,359032,95,9,35903295,359032959
2010,4,06739H 16 4,,BARCLAYS BANK PLC,ETN GLB CARB38,,06739H,16,4,06739H16,06739H164
2010,4,00766T 95 0,,AECOM TECHNOLOGY CORP DELAWA,PUT,,00766T,95,0,00766T95,00766T950
2010,4,46147M 10 8,,INVESTORS CAP HLDGS LTD,COM,,46147M,10,8,46147M10,46147M108
2010,4,29382R 10 7,*,ENTRAVISION COMMUNICATIONS C,CL A,,29382R,10,7,29382R10,29382R107
2010,4,03836W 90 3,,AQUA AMERICA INC,CALL,,03836W,90,3,03836W90,03836W903
2010,4,002535 30 0,,AARONS INC,COM PAR $0.50,,002535,30,0,00253530,002535300
2010,4,464287 78 8,*,ISHARES TR,DJ US FINL SEC,,464287,78,8,46428778,464287788
2010,4,145282 10 9,,CARROLLTON BANCORP,COM,,145282,10,9,14528210,145282109
2010,4,20441W 95 3,,COMPANHIA DE BEBIDAS DAS AME,PUT,,20441W,95,3,20441W95,20441W953
2010,4,639208 95 7,,NAVARRE CORP,PUT,,639208,95,7,63920895,639208957
2010,4,67019E 90 7,,NSTAR,CALL,,67019E,90,7,67019E90,67019E907
2010,4,45857P 90 1,,INTERCONTINENTAL HTLS GRP PL,CALL,,45857P,90,1,45857P90,45857P901
2010,4,008474 90 8,,AGNICO EAGLE MINES LTD,CALL,,008474,90,8,00847490,008474908
2010,4,76028H 95 0,,REPROS THERAPEUTICS INC,PUT,DELETED,76028H,95,0,76028H95,76028H950
2010,4,25746Q 10 8,,DOMINION RES BLACK WARRIOR T,UNITS BEN INT,,25746Q,10,8,25746Q10,25746Q108
2010,4,739128 10 6,*,POWELL INDS INC,COM,,739128,10,6,73912810,739128106
2010,4,45666Q AB 8,,INFORMATICA CORP,NOTE  3.000% 3/1,,45666Q,AB,8,45666QAB,45666QAB8
2010,4,203607 95 6,,COMMUNITY BK SYS INC,PUT,,203607,95,6,20360795,203607956
2010,4,G32030 10 1,,EURO TECH HOLDINGS CO LTD,ORD,,G32030,10,1,G3203010,G32030101
2010,4,482738 95 1,,KVH INDS INC,PUT,,482738,95,1,48273895,482738951
2010,4,989855 90 1,,ZYGO CORP,CALL,,989855,90,1,98985590,989855901
2010,4,003830 95 6,,ABRAXAS PETE CORP,PUT,,003830,95,6,00383095,003830956
2010,4,G8657Q 95 4,,TBS INTERNATIONAL PLC,PUT,,G8657Q,95,4,G8657Q95,G8657Q954
2010,4,30243C 10 7,,FFD FINL CORP,COM,,30243C,10,7,30243C10,30243C107
2010,4,453038 95 8,,IMPERIAL OIL LTD,PUT,,453038,95,8,45303895,453038958
2010,4,156710 95 5,,CERADYNE INC,PUT,,156710,95,5,15671095,156710955
2010,4,464286 95 9,,ISHARES INC,PUT,,464286,95,9,46428695,464286959
2010,4,943526 90 1,,WAVE SYSTEMS CORP,CALL,,943526,90,1,94352690,943526901
2010,4,048221 10 5,,ATLANTIC BANCGROUP INC,COM,DELETED,048221,10,5,04822110,048221105
2010,4,98884U 95 8,,ZAGG INCORPORATED,PUT,,98884U,95,8,98884U95,98884U958
2010,4,P94398 95 7,,ULTRAPETROL BAHAMAS LTD,PUT,,P94398,95,7,P9439895,P94398957
2010,4,427866 10 8,*,HERSHEY CO,COM,,427866,10,8,42786610,427866108
2010,4,280358 95 2,,EDGEWATER TECHNOLOGY INC,PUT,,280358,95,2,28035895,280358952
2010,4,G2110U 10 9,,CHINA NATURAL RESOURCES INC,COM,,G2110U,10,9,G2110U10,G2110U109
2010,4,78467X 90 9,,SPDR DOW JONES INDL AVRG ETF,CALL,,78467X,90,9,78467X90,78467X909
2010,4,667746 90 1,,NORTHWEST PIPE CO,CALL,,667746,90,1,66774690,667746901
2010,4,643847 10 6,,NEW ENERGY SYS GROUP,COM,,643847,10,6,64384710,643847106
2010,4,292218 90 4,,EMPLOYERS HOLDINGS INC,CALL,,292218,90,4,29221890,292218904
2010,4,768475 10 5,,RIVER VY BANCORP,COM,,768475,10,5,76847510,768475105
2010,4,740189 10 5,*,PRECISION CASTPARTS CORP,COM,,740189,10,5,74018910,740189105
2010,4,37247D 90 6,,GENWORTH FINL INC,CALL,,37247D,90,6,37247D90,37247D906
2010,4,G38490 20 0,,GEROVA FINANCIAL GROUP LTD,SHS NEW,ADDED,G38490,20,0,G3849020,G38490200
2010,4,30024B 95 3,,EVERGREEN ENERGY INC NEW,PUT,,30024B,95,3,30024B95,30024B953
2010,4,64156L 95 1,,NEVSUN RES LTD,PUT,,64156L,95,1,64156L95,64156L951
2010,4,464288 54 7,,ISHARES TR,RETAIL CAP IDX,,464288,54,7,46428854,464288547
2010,4,464288 20 8,,ISHARES TR,MID CORE INDEX,,464288,20,8,46428820,464288208
2010,4,90187B 90 1,,TWO HBRS INVT CORP,CALL,,90187B,90,1,90187B90,90187B901
2010,4,92864N 95 1,,VOLCOM INC,PUT,,92864N,95,1,92864N95,92864N951
2010,4,437076 10 2,*,HOME DEPOT INC,COM,,437076,10,2,43707610,437076102
2010,4,384802 90 4,,GRAINGER W W INC,CALL,,384802,90,4,38480290,384802904
2010,4,09069N 95 8,,BIOSCRIP INC,PUT,,09069N,95,8,09069N95,09069N958
2010,4,525558 20 1,,LEMAITRE VASCULAR INC,COM,,525558,20,1,52555820,525558201
2010,4,852891 95 0,,STANCORP FINL GROUP INC,PUT,,852891,95,0,85289195,852891950
2010,4,464289 13 1,ISHARES TR,MSCI BRAZ SMCP,ADDED,,464289,13,1,46428913,464289131
2010,4,595017 AB 0,,MICROCHIP TECHNOLOGY INC,SDCV  2.125%12/1,,595017,AB,0,595017AB,595017AB0
2010,4,872625 90 8,,TRC COS INC,CALL,,872625,90,8,87262590,872625908
2010,4,38068N 95 8,,GOLD RESV INC,PUT,,38068N,95,8,38068N95,38068N958
2010,4,080555 95 5,,BELO CORP,PUT,,080555,95,5,08055595,080555955
2010,4,676118 90 2,,ODYSSEY MARINE EXPLORATION I,CALL,,676118,90,2,67611890,676118902
2010,4,73935X 90 8,,POWERSHARES ETF TRUST,CALL,,73935X,90,8,73935X90,73935X908
2010,4,868157 90 8,,SUPERIOR ENERGY SVCS INC,CALL,,868157,90,8,86815790,868157908
2010,4,368802 10 4,,GENERAL AMERN INVS INC,COM,,368802,10,4,36880210,368802104
2010,4,29255V 20 1,,ENCORE BANCSHARES INC,COM,,29255V,20,1,29255V20,29255V201
2010,4,292052 AB 3,,EMPIRE RESORTS INC,NOTE  8.000% 7/3,DELETED,292052,AB,3,292052AB,292052AB3
2010,4,674215 90 8,,OASIS PETE INC NEW,CALL,,674215,90,8,67421590,674215908
2010,4,33734X 95 5,,FIRST TR EXCHANGE TRADED FD,PUT,,33734X,95,5,33734X95,33734X955
2010,4,168905 10 7,*,CHILDRENS PL RETAIL STORES I,COM,,168905,10,7,16890510,168905107
2010,4,30161Q 95 4,,EXELIXIS INC,PUT,,30161Q,95,4,30161Q95,30161Q954
2010,4,055630 10 7,*,BP PRUDHOE BAY RTY TR,UNIT BEN INT,,055630,10,7,05563010,055630107
2010,4,918866 90 4,,VALASSIS COMMUNICATIONS INC,CALL,,918866,90,4,91886690,918866904
2010,4,602720 10 4,*,MINE SAFETY APPLIANCES CO,COM,,602720,10,4,60272010,602720104
2010,4,67575P 10 8,*,OCULUS INNOVATIVE SCIENCES I,COM,,67575P,10,8,67575P10,67575P108
2010,4,583840 90 3,,MECHEL OAO,CALL,,583840,90,3,58384090,583840903
2010,4,78355W 95 0,,RYDEX ETF TRUST,PUT,,78355W,95,0,78355W95,78355W950
2010,4,036115 10 3,*,ANNTAYLOR STORES CORP,COM,,036115,10,3,03611510,036115103
2010,4,032657 95 7,,ANALOGIC CORP,PUT,,032657,95,7,03265795,032657957
2010,4,423452 10 1,*,HELMERICH & PAYNE INC,COM,,423452,10,1,42345210,423452101
2010,4,031162 AL 4,,AMGEN INC,NOTE         3/0,,031162,AL,4,031162AL,031162AL4
2010,4,222862 90 4,,COVENTRY HEALTH CARE INC,CALL,,222862,90,4,22286290,222862904
2010,4,806037 90 7,,SCANSOURCE INC,CALL,,806037,90,7,80603790,806037907
2010,4,73179P 95 6,,POLYONE CORP,PUT,,73179P,95,6,73179P95,73179P956
2010,4,91274F 95 4,,U STORE IT TR,PUT,,91274F,95,4,91274F95,91274F954
2010,4,67072A 10 9,,NUVEEN MD DIV ADV MUN FD 3,COM,,67072A,10,9,67072A10,67072A109
2010,4,571748 10 2,*,MARSH & MCLENNAN COS INC,COM,,571748,10,2,57174810,571748102
2010,4,92204A 95 4,,VANGUARD WORLD FDS,PUT,,92204A,95,4,92204A95,92204A954
2010,4,487836 10 8,*,KELLOGG CO,COM,,487836,10,8,48783610,487836108
2010,4,466032 10 9,,J & J SNACK FOODS CORP,COM,,466032,10,9,46603210,466032109
2010,4,53071M 95 8,,LIBERTY MEDIA CORP NEW,PUT,,53071M,95,8,53071M95,53071M958
2010,4,515098 10 1,*,LANDSTAR SYS INC,COM,,515098,10,1,51509810,515098101
2010,4,75025N 95 2,,RADIANT SYSTEMS INC,PUT,,75025N,95,2,75025N95,75025N952
2010,4,46132P 10 8,,INVESCO INSRD MUNI INCM TRST,COM,,46132P,10,8,46132P10,46132P108
2010,4,56400P 90 1,,MANNKIND CORP,CALL,,56400P,90,1,56400P90,56400P901
2010,4,18383M 50 6,*,CLAYMORE EXCHANGE-TRADED FD,GUG MULTI ASSET,,18383M,50,6,18383M50,18383M506
2010,4,482738 90 1,,KVH INDS INC,CALL,,482738,90,1,48273890,482738901
2010,4,609045 10 9,,MONARCH COMMUNITY BANCORP IN,COM,,609045,10,9,60904510,609045109
2010,4,74365A 95 1,,PROTALIX BIOTHERAPEUTICS INC,PUT,,74365A,95,1,74365A95,74365A951
2010,4,611742 90 7,,MONSTER WORLDWIDE INC,CALL,,611742,90,7,61174290,611742907
2010,4,853790 10 3,,STANDARD PARKING CORP,COM,,853790,10,3,85379010,853790103
2010,4,709600 90 0,,PENSON WORLDWIDE INC,CALL,,709600,90,0,70960090,709600900
2010,4,022276 90 9,,ALUMINUM CORP CHINA LTD,CALL,,022276,90,9,02227690,022276909
2010,4,91912E 10 5,*,VALE S A,ADR,,91912E,10,5,91912E10,91912E105
2010,4,422806 90 9,,HEICO CORP NEW,CALL,,422806,90,9,42280690,422806909
2010,4,16411Q 95 1,,CHENIERE ENERGY PARTNERS LP,PUT,,16411Q,95,1,16411Q95,16411Q951
2010,4,092546 10 0,,BLACKROCK ECOSOLUTIONS INVT,COM SH,,092546,10,0,09254610,092546100
2010,4,92204A 95 2,,VANGUARD WORLD FDS,PUT,,92204A,95,2,92204A95,92204A952
2010,4,029683 95 9,,AMERICAN SOFTWARE INC,PUT,,029683,95,9,02968395,029683959
2010,4,681936 95 0,,OMEGA HEALTHCARE INVS INC,PUT,,681936,95,0,68193695,681936950
2010,4,021373 95 5,,ALTAIR NANOTECHNOLOGIES INC,PUT,DELETED,021373,95,5,02137395,021373955
2010,4,027297 10 0,,AMERICAN LORAIN CORP,COM,,027297,10,0,02729710,027297100
2010,4,04315B 90 7,,ARTIO GLOBAL INVS INC,CALL,,04315B,90,7,04315B90,04315B907
2010,4,16444H 10 2,,CHEROKEE INC DEL NEW,COM,,16444H,10,2,16444H10,16444H102
2010,4,004934 95 5,,ACTEL CORP,PUT,DELETED,004934,95,5,00493495,004934955
2010,4,26779V 10 5,,DYNACQ HEALTHCARE INC,COM,,26779V,10,5,26779V10,26779V105
2010,4,018522 95 0,,ALLETE INC,PUT,,018522,95,0,01852295,018522950
2010,4,139793 10 3,,CAPITAL BK CORP,COM,,139793,10,3,13979310,139793103
2010,4,25459W 95 7,,DIREXION SHS ETF TR,PUT,,25459W,95,7,25459W95,25459W957
2010,4,47023A 10 1,*,JAMBA INC,COM,,47023A,10,1,47023A10,47023A101
2010,4,572901 90 6,,MARTEK BIOSCIENCES CORP,CALL,,572901,90,6,57290190,572901906
2010,4,58733R 90 2,,MERCADOLIBRE INC,CALL,,58733R,90,2,58733R90,58733R902
2010,4,464289 59 4,ISHARES TR,ENERGY IDX FD,,,464289,59,4,46428959,464289594
2010,4,62985Q 90 1,,NALCO HOLDING COMPANY,CALL,,62985Q,90,1,62985Q90,62985Q901
2010,4,989207 90 5,,ZEBRA TECHNOLOGIES CORP,CALL,,989207,90,5,98920790,989207905
2010,4,67020Y 95 0,,NUANCE COMMUNICATIONS INC,PUT,,67020Y,95,0,67020Y95,67020Y950
2010,4,381119 90 6,,GOLDEN MINERALS CO,CALL,,381119,90,6,38111990,381119906
2010,4,009158 95 6,,AIR PRODS & CHEMS INC,PUT,,009158,95,6,00915895,009158956
2010,4,556162 10 5,,MAD CATZ INTERACTIVE INC,COM,,556162,10,5,55616210,556162105
2010,4,97717W 71 1,,WISDOMTREE TRUST,INTL ENERGY,,97717W,71,1,97717W71,97717W711
2010,4,770323 10 3,*,ROBERT HALF INTL INC,COM,,770323,10,3,77032310,770323103
2010,4,87160A 90 0,,SYNGENTA AG,CALL,,87160A,90,0,87160A90,87160A900
2010,4,464287 95 4,,ISHARES TR,PUT,,464287,95,4,46428795,464287954
