year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2010,2,057665 90 0,,BALCHEM CORP,CALL,,057665,90,0,05766590,057665900
2010,2,84265V 95 5,,SOUTHERN COPPER CORP,PUT,,84265V,95,5,84265V95,84265V955
2010,2,42330P 10 7,*,HELIX ENERGY SOLUTIONS GRP I,COM,,42330P,10,7,42330P10,42330P107
2010,2,19248A 10 9,,COHEN & STEERS INFRASTRUCTUR,COM,,19248A,10,9,19248A10,19248A109
2010,2,53215T 10 6,*,LIFE PARTNERS HOLDINGS INC,COM,,53215T,10,6,53215T10,53215T106
2010,2,929042 20 8,,VORNADO RLTY TR,PFD CONV SER A,,929042,20,8,92904220,929042208
2010,2,502160 AG 9,,LSB INDS INC,SDCV  5.500% 7/0,,502160,AG,9,502160AG,502160AG9
2010,2,G89982 10 5,,TRANSATLANTIC PETROLEUM LTD,SHS,,G89982,10,5,G8998210,G89982105
2010,2,71654V 90 8,,PETROLEO BRASILEIRO SA PETRO,CALL,,71654V,90,8,71654V90,71654V908
2010,2,745867 90 1,,PULTE GROUP INC,CALL,,745867,90,1,74586790,745867901
2010,2,707569 10 9,*,PENN NATL GAMING INC,COM,,707569,10,9,70756910,707569109
2010,2,106776 90 7,,BREITBURN ENERGY PARTNERS LP,CALL,,106776,90,7,10677690,106776907
2010,2,750236 10 1,*,RADIAN GROUP INC,COM,,750236,10,1,75023610,750236101
2010,2,16411R 90 8,,CHENIERE ENERGY INC,CALL,,16411R,90,8,16411R90,16411R908
2010,2,296056 10 4,,ESCALADE INC,COM,,296056,10,4,29605610,296056104
2010,2,354613 10 1,*,FRANKLIN RES INC,COM,,354613,10,1,35461310,354613101
2010,2,887100 10 5,*,TIMBERLAND CO,CL A,,887100,10,5,88710010,887100105
2010,2,904034 90 5,,ULTRATECH INC,CALL,,904034,90,5,90403490,904034905
2010,2,670002 95 4,,NOVAVAX INC,PUT,,670002,95,4,67000295,670002954
2010,2,73935X 74 0,*,POWERSHARES ETF TRUST,ZACKS MC PRTFL,,73935X,74,0,73935X74,73935X740
2010,2,868532 90 2,,SUPERTEX INC,CALL,,868532,90,2,86853290,868532902
2010,2,720279 10 8,*,PIER 1 IMPORTS INC,COM,,720279,10,8,72027910,720279108
2010,2,456837 90 3,,ING GROEP N V,CALL,,456837,90,3,45683790,456837903
2010,2,98584B 90 3,,YINGLI GREEN ENERGY HLDG CO,CALL,,98584B,90,3,98584B90,98584B903
2010,2,257651 10 9,*,DONALDSON INC,COM,,257651,10,9,25765110,257651109
2010,2,291005 10 6,*,EMERITUS CORP,COM,,291005,10,6,29100510,291005106
2010,2,464286 58 2,,ISHARES INC,JAPAN SML CAP,,464286,58,2,46428658,464286582
2010,2,084423 95 2,,BERKLEY W R CORP,PUT,,084423,95,2,08442395,084423952
2010,2,37637Q 90 5,,GLACIER BANCORP INC NEW,CALL,,37637Q,90,5,37637Q90,37637Q905
2010,2,723655 95 6,,PIONEER DRILLING CO,PUT,,723655,95,6,72365595,723655956
