year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2014,4,G5866L 11 6,,GARNERO GROUP ACQUISITION CO,*W EXP 06/24/201,,G5866L,11,6,G5866L11,G5866L116
2014,4,373737 10 5,*,GERDAU S A,SPON ADR REP PFD,,373737,10,5,37373710,373737105
2014,4,464330 90 9,,ISIS PHARMACEUTICALS INC,CALL,,464330,90,9,46433090,464330909
2014,4,161151 10 5,,CHART ACQUISITION CORP,COM,,161151,10,5,16115110,161151105
2014,4,88554D 20 5,*,3-D SYS CORP DEL,COM NEW,,88554D,20,5,88554D20,88554D205
2014,4,78425V 10 4,,SI FINL GROUP INC MD,COM,,78425V,10,4,78425V10,78425V104
2014,4,302081 95 4,,EXLSERVICE HOLDINGS INC,PUT,,302081,95,4,30208195,302081954
2014,4,72201H 10 8,,PIMCO INCOME STRATEGY FUND,COM,,72201H,10,8,72201H10,72201H108
2014,4,88163V AE 9,,TEVA PHARMACEUTICAL FIN LLC,DBCV  0.250% 2/0,,88163V,AE,9,88163VAE,88163VAE9
2014,4,87244T 90 9,,TICC CAPITAL CORP,CALL,,87244T,90,9,87244T90,87244T909
2014,4,Y27183 95 5,,GLOBAL SHIP LEASE INC NEW,PUT,,Y27183,95,5,Y2718395,Y27183955
2014,4,674870 30 8,*,OCEAN PWR TECHNOLOGIES INC,COM NEW,,674870,30,8,67487030,674870308
2014,4,44107P 95 4,,HOST HOTELS & RESORTS INC,PUT,,44107P,95,4,44107P95,44107P954
2014,4,913821 30 2,,UNIVERSAL SEC INSTRS INC,COM NEW,,913821,30,2,91382130,913821302
2014,4,458140 90 0,,INTEL CORP,CALL,,458140,90,0,45814090,458140900
2014,4,896818 95 1,,TRIUMPH GROUP INC NEW,PUT,,896818,95,1,89681895,896818951
2014,4,91790E 10 2,,VBI VACCINES INC,COM,,91790E,10,2,91790E10,91790E102
2014,4,918905 90 0,,VALHI INC NEW,CALL,,918905,90,0,91890590,918905900
2014,4,72940R 10 2,*,PLURISTEM THERAPEUTICS INC,COM,,72940R,10,2,72940R10,72940R102
2014,4,87911B 90 9,,TEKMIRA PHARMACEUTICALS CORP,CALL,,87911B,90,9,87911B90,87911B909
2014,4,00162Q 95 4,,ALPS ETF TR,PUT,,00162Q,95,4,00162Q95,00162Q954
2014,4,252603 10 5,*,DIAMOND FOODS INC,COM,,252603,10,5,25260310,252603105
2014,4,359694 95 6,,FULLER H B CO,PUT,,359694,95,6,35969495,359694956
2014,4,780097 68 9,*,ROYAL BK SCOTLAND GROUP PLC,SPONS ADR 20 ORD,,780097,68,9,78009768,780097689
2014,4,12662P 10 8,*,CVR ENERGY INC,COM,,12662P,10,8,12662P10,12662P108
2014,4,64190A 10 3,,NEUBERGER BERMAN RE ES SEC F,COM,,64190A,10,3,64190A10,64190A103
2014,4,41013W 10 8,,HANCOCK JOHN PFD INCOME FD,SH BEN INT,,41013W,10,8,41013W10,41013W108
2014,4,750236 AK 7,,RADIAN GROUP INC,NOTE  3.000%11/1,,750236,AK,7,750236AK,750236AK7
2014,4,43113X 10 1,*,HIGHPOWER INTL INC,COM,,43113X,10,1,43113X10,43113X101
2014,4,48019R 90 8,,JONES ENERGY INC,CALL,,48019R,90,8,48019R90,48019R908
2014,4,98212B 90 3,,WPX ENERGY INC,CALL,,98212B,90,3,98212B90,98212B903
2014,4,606501 10 4,*,MITCHAM INDS INC,COM,,606501,10,4,60650110,606501104
2014,4,25459Y 36 3,*,DIREXION SHS ETF TR,DLY R/E BEAR3X,,25459Y,36,3,25459Y36,25459Y363
2014,4,81369Y 40 7,*,SELECT SECTOR SPDR TR,SBI CONS DISCR,,81369Y,40,7,81369Y40,81369Y407
2014,4,377316 10 4,*,GLATFELTER,COM,,377316,10,4,37731610,377316104
2014,4,489398 95 7,,KENNEDY-WILSON HLDGS INC,PUT,,489398,95,7,48939895,489398957
2014,4,73179V 10 3,*,POLYPORE INTL INC,COM,,73179V,10,3,73179V10,73179V103
2014,4,92718N 90 9,,VIMICRO INTL CORP,CALL,,92718N,90,9,92718N90,92718N909
2014,4,73935X 15 3,*,POWERSHARES ETF TRUST,DWA MOMENTUM PTF,,73935X,15,3,73935X15,73935X153
2014,4,97717W 59 6,,WISDOMTREE TR,TTL EARNING FD,,97717W,59,6,97717W59,97717W596
2014,4,97717P 95 4,,WISDOMTREE INVTS INC,PUT,,97717P,95,4,97717P95,97717P954
2014,4,29413U 90 3,,ENVISION HEALTHCARE HLDGS IN,CALL,,29413U,90,3,29413U90,29413U903
2014,4,097023 10 5,*,BOEING CO,COM,,097023,10,5,09702310,097023105
2014,4,78464A 95 5,,SPDR SERIES TRUST,PUT,,78464A,95,5,78464A95,78464A955
2014,4,917286 20 5,*,URSTADT BIDDLE PPTYS INC,CL A,,917286,20,5,91728620,917286205
2014,4,743315 10 3,*,PROGRESSIVE CORP OHIO,COM,,743315,10,3,74331510,743315103
2014,4,15117B 95 3,,CELLDEX THERAPEUTICS INC NEW,PUT,,15117B,95,3,15117B95,15117B953
2014,4,077454 90 6,,BELDEN INC,CALL,,077454,90,6,07745490,077454906
2014,4,774374 10 2,*,ROCKWELL MED INC,COM,,774374,10,2,77437410,774374102
2014,4,568423 10 7,,MARINE PETE TR,UNIT BEN INT,,568423,10,7,56842310,568423107
2014,4,590672 90 1,,MESABI TR,CALL,,590672,90,1,59067290,590672901
2014,4,78467Y 90 7,,SPDR S&P MIDCAP 400 ETF TR,CALL,,78467Y,90,7,78467Y90,78467Y907
2014,4,92827P 10 2,*,VIRTUSA CORP,COM,,92827P,10,2,92827P10,92827P102
2014,4,46429B 95 1,,ISHARES TR,PUT,,46429B,95,1,46429B95,46429B951
2014,4,447011 90 7,,HUNTSMAN CORP,CALL,,447011,90,7,44701190,447011907
2014,4,376535 95 0,,GLADSTONE CAPITAL CORP,PUT,,376535,95,0,37653595,376535950
2014,4,33737J 95 2,,FIRST TR EXCH TRD ALPHA FD I,PUT,,33737J,95,2,33737J95,33737J952
2014,4,872375 95 0,,TECO ENERGY INC,PUT,,872375,95,0,87237595,872375950
2014,4,247850 90 0,,DELTIC TIMBER CORP,CALL,,247850,90,0,24785090,247850900
2014,4,68375Q 90 3,,OPLINK COMMUNICATIONS INC,CALL,DELETED,68375Q,90,3,68375Q90,68375Q903
2014,4,013817 10 1,*,ALCOA INC,COM,,013817,10,1,01381710,013817101
2014,4,486606 10 6,*,KAYNE ANDERSON MLP INVT CO,COM,,486606,10,6,48660610,486606106
2014,4,218352 10 2,*,CORCEPT THERAPEUTICS INC,COM,,218352,10,2,21835210,218352102
2014,4,18538R 90 3,,CLEARWATER PAPER CORP,CALL,,18538R,90,3,18538R90,18538R903
2014,4,75689M 90 1,,RED ROBIN GOURMET BURGERS IN,CALL,,75689M,90,1,75689M90,75689M901
2014,4,97717W 90 6,,WISDOMTREE TR,CALL,,97717W,90,6,97717W90,97717W906
