year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2013,1,59132A 95 4,,METALS USA HLDGS CORP,PUT,,59132A,95,4,59132A95,59132A954
2013,1,592142 90 3,,METROPOLITAN HEALTH NETWORKS,CALL,DELETED,592142,90,3,59214290,592142903
2013,1,28238P 95 9,,EHEALTH INC,PUT,,28238P,95,9,28238P95,28238P959
2013,1,06739H 32 1,,BARCLAYS BANK PLC,ETN DJUBSALUMI38,,06739H,32,1,06739H32,06739H321
2013,1,74154B 20 3,,PRIMA BIOMED LTD,SPON ADR LVL II,,74154B,20,3,74154B20,74154B203
2013,1,67020Y AF 7,,NUANCE COMMUNICATIONS INC,NOTE  2.750%11/0,,67020Y,AF,7,67020YAF,67020YAF7
2013,1,73936T 90 4,,POWERSHARES GLOBAL ETF TRUST,CALL,,73936T,90,4,73936T90,73936T904
2013,1,059692 90 3,,BANCORPSOUTH INC,CALL,,059692,90,3,05969290,059692903
2013,1,858495 10 4,,STEINWAY MUSICAL INSTRS INC,COM,,858495,10,4,85849510,858495104
2013,1,89151E 10 9,*,TOTAL S A,SPONSORED ADR,,89151E,10,9,89151E10,89151E109
2013,1,344419 90 6,,FOMENTO ECONOMICO MEXICANO S,CALL,,344419,90,6,34441990,344419906
2013,1,530555 20 0,,LIBERTY GLOBAL INC,COM SER B,,530555,20,0,53055520,530555200
2013,1,589433 90 1,,MEREDITH CORP,CALL,,589433,90,1,58943390,589433901
2013,1,29482P 10 0,,ERICKSON AIR-CRANE INC,COM,,29482P,10,0,29482P10,29482P100
2013,1,95058W 90 0,,WENDYS CO,CALL,,95058W,90,0,95058W90,95058W900
2013,1,149205 90 6,,CATO CORP NEW,CALL,,149205,90,6,14920590,149205906
2013,1,89353D 95 7,,TRANSCANADA CORP,PUT,,89353D,95,7,89353D95,89353D957
2013,1,M25082 10 4,*,CLICKSOFTWARE TECHNOLOGIES L,ORD,,M25082,10,4,M2508210,M25082104
2013,1,74731Q 10 3,,PZENA INVESTMENT MGMT INC,CLASS A,,74731Q,10,3,74731Q10,74731Q103
2013,1,880770 95 2,,TERADYNE INC,PUT,,880770,95,2,88077095,880770952
2013,1,068463 10 8,,BARRETT BUSINESS SERVICES IN,COM,,068463,10,8,06846310,068463108
2013,1,55272X 90 2,,MFA FINANCIAL INC,CALL,,55272X,90,2,55272X90,55272X902
2013,1,36112J 90 7,,FUSION-IO INC,CALL,,36112J,90,7,36112J90,36112J907
2013,1,58403M 95 1,,MECOX LANE LIMITED,PUT,ADDED,58403M,95,1,58403M95,58403M951
2013,1,20451Q 10 4,*,COMPASS DIVERSIFIED HOLDINGS,SH BEN INT,,20451Q,10,4,20451Q10,20451Q104
