year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2012,4,97717W 59 6,,WISDOMTREE TRUST,TTL EARNING FD,,97717W,59,6,97717W59,97717W596
2012,4,023586 10 0,*,AMERCO,COM,,023586,10,0,02358610,023586100
2012,4,887319 AC 5,,TIME WARNER TELECOM INC,DBCV  2.375% 4/0,,887319,AC,5,887319AC,887319AC5
2012,4,42234Q 10 2,,HEARTLAND FINL USA INC,COM,,42234Q,10,2,42234Q10,42234Q102
2012,4,00826T 95 8,,AFFYMETRIX INC,PUT,,00826T,95,8,00826T95,00826T958
2012,4,18383M 90 5,,CLAYMORE EXCHANGE TRD FD TR,CALL,,18383M,90,5,18383M90,18383M905
2012,4,55933J 20 3,*,MAGNACHIP SEMICONDUCTOR CORP,COM,,55933J,20,3,55933J20,55933J203
2012,4,59151K 90 8,,METHANEX CORP,CALL,,59151K,90,8,59151K90,59151K908
2012,4,42983D 95 4,,HIGHER ONE HLDGS INC,PUT,,42983D,95,4,42983D95,42983D954
2012,4,891027 10 4,*,TORCHMARK CORP,COM,,891027,10,4,89102710,891027104
2012,4,092533 10 8,*,BLACKROCK KELSO CAPITAL CORP,COM,,092533,10,8,09253310,092533108
2012,4,535919 90 3,,LIONS GATE ENTMNT CORP,CALL,,535919,90,3,53591990,535919903
2012,4,760112 90 2,,RENTECH INC,CALL,,760112,90,2,76011290,760112902
2012,4,917277 90 4,,UROPLASTY INC,CALL,,917277,90,4,91727790,917277904
2012,4,984121 95 3,,XEROX CORP,PUT,,984121,95,3,98412195,984121953
2012,4,88018T 10 1,,TEMPLETON DRAGON FD INC,COM,,88018T,10,1,88018T10,88018T101
2012,4,539451 90 4,,LO-JACK CORP,CALL,,539451,90,4,53945190,539451904
2012,4,742962 90 3,,PRIVATEBANCORP INC,CALL,,742962,90,3,74296290,742962903
2012,4,08915P 95 1,,BIG 5 SPORTING GOODS CORP,PUT,,08915P,95,1,08915P95,08915P951
2012,4,363225 11 1,,GALECTIN THERAPEUTICS INC,*W EXP 03/28/201,,363225,11,1,36322511,363225111
2012,4,62886E 95 8,,NCR CORP NEW,PUT,,62886E,95,8,62886E95,62886E958
2012,4,150837 40 9,,CEL-SCI CORP,COM NEW,,150837,40,9,15083740,150837409
2012,4,783332 90 9,,RUTHS HOSPITALITY GROUP INC,CALL,,783332,90,9,78333290,783332909
2012,4,040790 95 7,,ARKANSAS BEST CORP DEL,PUT,,040790,95,7,04079095,040790957
2012,4,58501N 90 1,,MEDIVATION INC,CALL,,58501N,90,1,58501N90,58501N901
2012,4,464286 90 8,,ISHARES INC,CALL,,464286,90,8,46428690,464286908
2012,4,461730 95 3,,INVESTORS REAL ESTATE TR,PUT,,461730,95,3,46173095,461730953
2012,4,25065D 95 0,,DESTINATION MATERNITY CORP,PUT,,25065D,95,0,25065D95,25065D950
2012,4,592688 95 5,,METTLER TOLEDO INTERNATIONAL,PUT,,592688,95,5,59268895,592688955
2012,4,92835K 95 3,,VISHAY PRECISION GROUP INC,PUT,,92835K,95,3,92835K95,92835K953
2012,4,628530 90 7,,MYLAN INC,CALL,,628530,90,7,62853090,628530907
2012,4,57060U 17 5,,MARKET VECTORS ETF TR,BNK & BROKERAG,,57060U,17,5,57060U17,57060U175
2012,4,351680 20 2,,FQF TR,QUANT NEUT VAL,,351680,20,2,35168020,351680202
2012,4,713291 10 2,*,PEPCO HOLDINGS INC,COM,,713291,10,2,71329110,713291102
2012,4,29355X 90 7,,ENPRO INDS INC,CALL,,29355X,90,7,29355X90,29355X907
2012,4,391164 95 0,,GREAT PLAINS ENERGY INC,PUT,,391164,95,0,39116495,391164950
2012,4,88224Q 90 7,,TEXAS CAPITAL BANCSHARES INC,CALL,,88224Q,90,7,88224Q90,88224Q907
2012,4,377316 10 4,*,GLATFELTER,COM,,377316,10,4,37731610,377316104
2012,4,131476 95 3,,CALUMET SPECIALTY PRODS PTNR,PUT,,131476,95,3,13147695,131476953
2012,4,320771 10 8,*,FIRST MARBLEHEAD CORP,COM,,320771,10,8,32077110,320771108
2012,4,67070F 10 0,,NUVEEN DIV ADVANTAGE MUN FD,COM,,67070F,10,0,67070F10,67070F100
2012,4,73935B 80 5,,POWERSHARES ACTIVE MNG ETF T,S&P500 DWNHDGE,ADDED,73935B,80,5,73935B80,73935B805
2012,4,919794 95 7,,VALLEY NATL BANCORP,PUT,,919794,95,7,91979495,919794957
2012,4,397624 10 7,*,GREIF INC,CL A,,397624,10,7,39762410,397624107
2012,4,46113M 10 8,*,INTERVAL LEISURE GROUP INC,COM,,46113M,10,8,46113M10,46113M108
2012,4,232806 95 9,,CYPRESS SEMICONDUCTOR CORP,PUT,,232806,95,9,23280695,232806959
2012,4,G80751 10 3,,SGOCO GROUP LTD,SHS,,G80751,10,3,G8075110,G80751103
2012,4,582411 95 4,,MCMORAN EXPLORATION CO,PUT,,582411,95,4,58241195,582411954
2012,4,45409B 10 7,,INDEXIQ ETF TR,HEDGE MLTI ETF,,45409B,10,7,45409B10,45409B107
2012,4,79546E 95 4,,SALLY BEAUTY HLDGS INC,PUT,,79546E,95,4,79546E95,79546E954
2012,4,71377E 90 5,,PERFORMANT FINL CORP,CALL,,71377E,90,5,71377E90,71377E905
2012,4,N22717 95 7,,CORE LABORATORIES N V,PUT,,N22717,95,7,N2271795,N22717957
2012,4,897238 11 9,,TROVAGENE INC,*W EXP 99/99/999,,897238,11,9,89723811,897238119
2012,4,74347W 66 8,*,PROSHARES TR II,ULTSH DJ UBS CRU,,74347W,66,8,74347W66,74347W668
2012,4,716549 10 0,,PETROLEUM & RES CORP,COM,,716549,10,0,71654910,716549100
2012,4,930004 20 5,,WACOAL HOLDINGS CORP,ADR,,930004,20,5,93000420,930004205
2012,4,97717W 95 6,,WISDOMTREE TRUST,PUT,,97717W,95,6,97717W95,97717W956
2012,4,058586 90 8,,BALLARD PWR SYS INC NEW,CALL,,058586,90,8,05858690,058586908
2012,4,359523 95 7,,FUEL TECH INC,PUT,,359523,95,7,35952395,359523957
2012,4,860326 10 7,,STEWARDSHIP FINL CORP,COM,,860326,10,7,86032610,860326107
2012,4,46428Q 90 9,,ISHARES SILVER TRUST,CALL,,46428Q,90,9,46428Q90,46428Q909
2012,4,715684 10 6,*,P T TELEKOMUNIKASI INDONESIA,SPONSORED ADR,,715684,10,6,71568410,715684106
2012,4,74347R 90 8,,PROSHARES TR,CALL,,74347R,90,8,74347R90,74347R908
2012,4,67070Y 10 9,,NUVEEN CA DIV ADV MUNI FD 3,COM SH BEN INT,,67070Y,10,9,67070Y10,67070Y109
2012,4,739276 90 3,,POWER INTEGRATIONS INC,CALL,,739276,90,3,73927690,739276903
2012,4,817070 10 5,,SENECA FOODS CORP NEW,CL B,,817070,10,5,81707010,817070105
2012,4,457187 90 2,,INGREDION INC,CALL,,457187,90,2,45718790,457187902
2012,4,16941R 10 8,*,CHINA PETE & CHEM CORP,SPON ADR H SHS,,16941R,10,8,16941R10,16941R108
2012,4,682159 90 8,,ON ASSIGNMENT INC,CALL,,682159,90,8,68215990,682159908
2012,4,35906A 95 8,,FRONTIER COMMUNICATIONS CORP,PUT,,35906A,95,8,35906A95,35906A958
2012,4,64124K 10 2,,NEUBERGER BERMAN NY INT MUN,COM,,64124K,10,2,64124K10,64124K102
2012,4,337319 10 7,,FIRST TR ABERDEEN GLBL OPP F,COM SHS,,337319,10,7,33731910,337319107
2012,4,502100 10 0,,LNB BANCORP INC,COM,,502100,10,0,50210010,502100100
2012,4,861642 10 6,*,STONE ENERGY CORP,COM,,861642,10,6,86164210,861642106
2012,4,464287 95 4,,ISHARES TR,PUT,,464287,95,4,46428795,464287954
2012,4,Y2685T 95 7,,GENCO SHIPPING & TRADING LTD,PUT,,Y2685T,95,7,Y2685T95,Y2685T957
2012,4,22542D 85 2,*,CREDIT SUISSE NASSAU BRH,ETN LKD 30 MLP,,22542D,85,2,22542D85,22542D852
2012,4,629337 90 6,,NN INC,CALL,,629337,90,6,62933790,629337906
2012,4,N6748L 90 2,,ORTHOFIX INTL N V,CALL,,N6748L,90,2,N6748L90,N6748L902
2012,4,8342EP 10 7,,SOLITARIO EXPL & RTY CORP,COM,,8342EP,10,7,8342EP10,8342EP107
2012,4,530555 10 1,*,LIBERTY GLOBAL INC,COM SER A,,530555,10,1,53055510,530555101
2012,4,03062T 10 5,*,AMERICAS CAR MART INC,COM,,03062T,10,5,03062T10,03062T105
2012,4,90268G 60 7,,UBS AG LONDON BRH,ETRACS MP2X DJ,,90268G,60,7,90268G60,90268G607
2012,4,60786L 95 7,,MODUSLINK GLOBAL SOLUTIONS I,PUT,,60786L,95,7,60786L95,60786L957
2012,4,18383M 90 9,,CLAYMORE EXCHANGE TRD FD TR,CALL,,18383M,90,9,18383M90,18383M909
2012,4,N07831 95 5,,AVG TECHNOLOGIES N V,PUT,,N07831,95,5,N0783195,N07831955
2012,4,45068B 90 9,,ITT EDUCATIONAL SERVICES INC,CALL,,45068B,90,9,45068B90,45068B909
2012,4,13342B 10 5,*,CAMERON INTERNATIONAL CORP,COM,,13342B,10,5,13342B10,13342B105
2012,4,459044 90 3,,INTERNATIONAL BANCSHARES COR,CALL,,459044,90,3,45904490,459044903
2012,4,73936T 90 3,,POWERSHARES GLOBAL ETF TRUST,CALL,,73936T,90,3,73936T90,73936T903
2012,4,921908 90 4,,VANGUARD SPECIALIZED PORTFOL,CALL,,921908,90,4,92190890,921908904
2012,4,984245 95 0,,YPF SOCIEDAD ANONIMA,PUT,,984245,95,0,98424595,984245950
2012,4,04744L 95 6,,ATHERSYS INC,PUT,,04744L,95,6,04744L95,04744L956
2012,4,758204 20 0,,REED ELSEVIER N V,SPONS ADR NEW,,758204,20,0,75820420,758204200
2012,4,419596 10 1,*,HAVERTY FURNITURE INC,COM,,419596,10,1,41959610,419596101
2012,4,384313 90 2,,GRAFTECH INTL LTD,CALL,,384313,90,2,38431390,384313902
2012,4,90662P 10 4,,UNION FIRST MKT BANKSH CP,COM,,90662P,10,4,90662P10,90662P104
