year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2019,1,35671D 90 7,,FREEPORT-MCMORAN INC,CALL,,35671D,90,7,35671D90,35671D907
2019,1,25490K 95 9,,DIREXION SHS ETF TR,PUT,,25490K,95,9,25490K95,25490K959
2019,1,67107W 95 0,,O2MICRO INTERNATIONAL LTD,PUT,,67107W,95,0,67107W95,67107W950
2019,1,83587F 20 2,*,SORRENTO THERAPEUTICS INC,COM NEW,,83587F,20,2,83587F20,83587F202
2019,1,516012 90 1,,LANNET INC,CALL,,516012,90,1,51601290,516012901
2019,1,606710 20 0,*,MITEK SYS INC,COM NEW,,606710,20,0,60671020,606710200
2019,1,03762U 10 5,*,APOLLO COML REAL EST FIN INC,COM,,03762U,10,5,03762U10,03762U105
2019,1,457187 95 2,,INGREDION INC,PUT,,457187,95,2,45718795,457187952
2019,1,G0335L 10 2,*,AMIRA NATURE FOODS LTD,SHS,,G0335L,10,2,G0335L10,G0335L102
2019,1,892231 95 1,,TOWNSQUARE MEDIA INC,PUT,,892231,95,1,89223195,892231951
2019,1,95058W 10 0,*,WENDYS CO,COM,,95058W,10,0,95058W10,95058W100
2019,1,75737F 10 8,*,REDFIN CORP,COM,,75737F,10,8,75737F10,75737F108
2019,1,381430 95 6,,GOLDMAN SACHS ETF TR,PUT,,381430,95,6,38143095,381430956
2019,1,26922A 24 8,,ETF SER SOLUTIONS,NETLEASE CORP,ADDED,26922A,24,8,26922A24,26922A248
2019,1,82900L 10 2,*,SIMPLY GOOD FOODS CO,COM,,82900L,10,2,82900L10,82900L102
2019,1,715347 90 0,,PERSPECTA INC,CALL,,715347,90,0,71534790,715347900
2019,1,67058H 95 2,,NUSTAR ENERGY LP,PUT,,67058H,95,2,67058H95,67058H952
2019,1,808625 10 7,*,SCIENCE APPLICATNS INTL CP N,COM,,808625,10,7,80862510,808625107
2019,1,917047 95 2,,URBAN OUTFITTERS INC,PUT,,917047,95,2,91704795,917047952
2019,1,92204A 95 7,,VANGUARD WORLD FDS,PUT,,92204A,95,7,92204A95,92204A957
2019,1,718546 10 4,*,PHILLIPS 66,COM,,718546,10,4,71854610,718546104
2019,1,33812L 95 2,,FITBIT INC,PUT,,33812L,95,2,33812L95,33812L952
2019,1,H5861P 10 3,,OBSEVA SA,COM,,H5861P,10,3,H5861P10,H5861P103
2019,1,29355A 90 7,,ENPHASE ENERGY INC,CALL,,29355A,90,7,29355A90,29355A907
2019,1,006739 95 6,,ADDUS HOMECARE CORP,PUT,,006739,95,6,00673995,006739956
2019,1,02079K 95 5,,ALPHABET INC,PUT,,02079K,95,5,02079K95,02079K955
2019,1,06746P 56 3,*,BARCLAYS BK PLC,IPATH B COFFEE,,06746P,56,3,06746P56,06746P563
