year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2016,2,74347X 62 5,*,PROSHARES TR,ULT R/EST NEW,,74347X,62,5,74347X62,74347X625
2016,2,88338N 90 7,,THERAPEUTICSMD INC,CALL,,88338N,90,7,88338N90,88338N907
2016,2,29269A 90 2,,ENDOCYTE INC,CALL,,29269A,90,2,29269A90,29269A902
2016,2,374396 90 8,,GEVO INC,CALL,,374396,90,8,37439690,374396908
2016,2,002824 10 0,*,ABBOTT LABS,COM,,002824,10,0,00282410,002824100
2016,2,G47791 90 1,,INGERSOLL-RAND PLC,CALL,,G47791,90,1,G4779190,G47791901
2016,2,464288 72 9,,ISHARES TR,GLOB INDSTRL ETF,,464288,72,9,46428872,464288729
2016,2,17878Y 95 8,,CIVEO CORP CDA,PUT,,17878Y,95,8,17878Y95,17878Y958
2016,2,N31738 10 2,*,FIAT CHRYSLER AUTOMOBILES N,SHS,,N31738,10,2,N3173810,N31738102
2016,2,464286 95 2,,ISHARES,PUT,,464286,95,2,46428695,464286952
2016,2,G0585R 10 6,*,ASSURED GUARANTY LTD,COM,,G0585R,10,6,G0585R10,G0585R106
2016,2,749227 AA 2,,RAIT FINANCIAL TRUST,NOTE  7.000% 4/0,,749227,AA,2,749227AA,749227AA2
2016,2,67062E 10 3,,NUVEEN INVT QUALITY MUN FD I,COM,,67062E,10,3,67062E10,67062E103
2016,2,33737A 10 8,,FIRST TR EXCH TRADED FD II,NASDQ CLN EDGE,,33737A,10,8,33737A10,33737A108
2016,2,88157K 95 1,,TESCO CORP,PUT,,88157K,95,1,88157K95,88157K951
2016,2,651718 90 4,,NEWPARK RES INC,CALL,,651718,90,4,65171890,651718904
2016,2,25490K 95 9,,DIREXION SHS ETF TR,PUT,,25490K,95,9,25490K95,25490K959
2016,2,676118 20 1,*,ODYSSEY MARINE EXPLORATION I,COM NEW,,676118,20,1,67611820,676118201
2016,2,74347R 90 0,,PROSHARES TR,CALL,,74347R,90,0,74347R90,74347R900
2016,2,366554 10 3,*,GARRISON CAP INC,COM,,366554,10,3,36655410,366554103
2016,2,602496 90 1,,MIMEDX GROUP INC,CALL,,602496,90,1,60249690,602496901
